bucket,codice,denominazione,termini_processuali,source_files
codex_curated_completion,112002,Deprecato per iscrizione in secondo grado - Inabilitazione di minori,3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112102,Riconoscimento di figlio naturale (art. 250 c.c.),3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112104,Regolamentazione rapporti con gli ascendenti (art. 317-bis Cod. Civ.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112105,Controllo della responsabilità genitoriale sui figli (art. 330 - 333 Cod. Civ.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112106,Convalida del provvedimento ex art. 403 CC,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112107,Affidamento minori (post Riforma Cartabia),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112108,Istanza ex art. 473 bis.69 Cpc (Ordini di protezione contro gli abusi familiari su soggetto minore),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112109,Provvedimenti indifferibili (Art. 473 bis.15 C.p.c.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112110,Attuazione dei provvedimenti sull'affidamento (Art. 473 bis.38 Cpc),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112111,Provvedimenti in caso di inadempienze o violazioni (Art. 473 bis.39 C.p.c.),3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112202,"Disconoscimento di figlio naturale (art. 250, 233, 244 c.c.)",3,kb_03_persone_famiglia_minori.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,112999,Altri procedimenti in materia minorile,3,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,118001,Controversie di competenza del TSAP ex art. 142 rd 1775/1933,2,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,118002,Controversie di competenza del TSAP ex art. 143 rd 1775/1933,2,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,118003,Revocazione ex art. 199 rd 1775/1933,5,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,118004,Rettificazione sentenza ex art. 204 rd 1775/1933,2,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,118099,Altre controversie di competenza del TSAP,2,kb_15_addendum_codici_aggiuntivi.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,129999,Altri istituti relativi alle successioni,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130011,Superficie,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130021,Enfiteusi,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130031,Usufrutto,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130032,Abitazione - Uso,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130052,tabelle millesimali,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130099,altri rapporti condominiali,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130111,Apposizione di termini,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,130131,Osservanza distanze riguardo alberi/siepi,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,131001,Diritti ed obblighi del possessore non riconducibili alle azioni di reintegrazione e manutenzione),2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,131011,Divisione di beni non caduti in successione,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,131101,Diritti ed obblighi del possessore non riconducibili alle azioni di reintegrazione e manutenzione),2,kb_99_completamento_codici_ufficiali.json
codex_curated_completion,132001,Pegno - Ipoteca - Trascrizione e pubblicita di beni immobili e mobili,3,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,139999,Altri istituti in materia di diritti reali possesso e trascrizioni,2,kb_04_successioni_diritti_reali.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140001,Cessione dei crediti,10,kb_05_contratti_responsabilita_locazioni.json;kb_98_top9_set4_parte1.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140002,Arbitraggio - Perizia contrattuale,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140012,Vendita di cose mobili,5,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140021,Appalto di opere pubbliche,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140031,Somministrazione,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140032,Locazione di beni mobili,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140033,"Spedizione - Trasporto (nazionale, internazionale, terrestre, aereo, marittimo, misto)",2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140034,Mandato,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140035,Agenzia,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140036,Mediazione,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140037,Deposito,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140038,Mutuo,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140039,Transazione,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140051,Assicurazione contro i danni,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140052,Assicurazione sulla vita,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140061,Fideiussione - Polizza fideiussoria,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140101,Promessa di pagamento - Ricognizione di debito,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140102,Titoli di credito,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140111,Indebito soggettivo - Indebito oggettivo,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140112,Arricchimento senza causa,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,140999,Altri contratti tipici ed obbligazioni non rientranti nelle altre materie,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,141001,Donazione,6,kb_05_contratti_responsabilita_locazioni.json;kb_98_top9_set3_parte1.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,142001,Prestazione d'opera intellettuale,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,142999,Altri contratti d'opera,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143101,Cessione di azienda,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143102,Concessione di vendita,5,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143103,Distribuzione,5,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143104,Licenza d'uso,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143105,Noleggio,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143106,Subfomitura,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143111,Factoring,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143112,Franchising,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143121,Leasing,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143131,Intermediazione finanziaria (S.I.M.) - Contratti di Borsa,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,143999,Altri contratti atipici,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144001,"Cessazione del contratto di locazione alla scadenza, uso abitativo",2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144002,"Cessazione del contratto di locazione alla scadenza, uso diverso",2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144011,Recesso dal contratto del Conduttore uso abitativo,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144012,Recesso dal contratto del Conduttore uso diverso,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144031,"Cause relative alla validita o efficacia del contratto o di singole clausole (azione di simulazione, nullita, annullamento, etc.)",2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144032,Pagamento del corrispettivo - Indennita di avviamento - Ripetizione di indebito - Risarcimento del danno,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144033,"Diritto di prelazione - diritto di riscatto del conduttore (ex L. n. 392/1978, ex L. n.431/1998 e altre leggi speciali)",2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
codex_curated_completion,144101,Affitto di azienda,2,kb_05_contratti_responsabilita_locazioni.json;kb_99_completamento_codici_ufficiali.json
